"","closestSp","predVal","lcl_predInt","ucl_predInt"
"Serranus_cabrilla","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Serranus_accraensis","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Serranus_hepatus","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Paralabrax_albomaculatus","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Paralabrax_callaensis","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Cratinus_agassizii","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Paralabrax_dewegeri","Dissostichus_eleginoides",4.26493243345321,0.286508654736591,20.5463094062924
"Paralabrax_loro","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Paralabrax_nebulifer","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Paralabrax_auroguttatus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Paralabrax_humeralis","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Paralabrax_maculatofasciatus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Paralabrax_clathratus","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Serranus_phoebe","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Diplectrum_maximum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Diplectrum_formosum","Dissostichus_eleginoides",4.26492922948469,0.286514149338091,20.5461911598437
"Diplectrum_pacificum","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Serranus_tortugarum","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Serranus_tabacarius","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Serranus_tigrinus","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Hypoplectrus_gemma","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Hypoplectrus_gummigutta","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Hypoplectrus_chlorurus","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Hypoplectrus_guttavarius","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Hypoplectrus_unicolor","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Hypoplectrus_aberrans","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Hypoplectrus_nigricans","Dissostichus_eleginoides",4.26492880460992,0.286511507440039,20.5462319282078
"Hypoplectrus_indigo","Dissostichus_eleginoides",4.26492880460993,0.286511507440039,20.5462319282078
"Hypoplectrus_puella","Dissostichus_eleginoides",4.26492883240637,0.286511860864138,20.5462262366434
"Cryptacanthodes_giganteus","Arctoscopus_japonicus",3.82677087353197,0.424062049354086,15.3600434939922
"Ptilichthys_goodei","Arctoscopus_japonicus",3.82677087353197,0.424062049354086,15.3600434939922
"Pholis_nebulosa","Arctoscopus_japonicus",3.82677087353197,0.424062049354087,15.3600434939923
"Pholis_fangi","Arctoscopus_japonicus",3.82677087353197,0.424062049354087,15.3600434939923
"Apodichthys_flavidus","Arctoscopus_japonicus",3.82676993466821,0.424064743270589,15.3600061811165
